"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126","Успешное создание нового кроссовка","tests.api","2026-06-05","passed","2026-06-05","","test_products_api","",""
"","95","Блокировка входа с неверным паролем","tests.api","2026-06-05","passed","2026-06-05","","test_auth_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-06-05","broken","2026-06-05","","test_carts_api","",""
"","111","Проверка создания товара с разными ценами","tests.api","2026-06-05","passed","2026-06-05","","test_products_api","",""
"","25","Ошибка при запросе несуществующего заказа","tests.api","2026-06-05","passed","2026-06-05","","test_orders_api","",""
"","9","Ошибка создания товара без названия","tests.api","2026-06-05","passed","2026-06-05","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-06-05","passed","2026-06-05","","test_orders_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-06-05","broken","2026-06-05","","test_carts_api","",""
"","109","Проверка создания товара с разными ценами","tests.api","2026-06-05","passed","2026-06-05","","test_products_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-06-05","passed","2026-06-05","","test_products_api","",""
"","108","Проверка создания товара с разными ценами","tests.api","2026-06-05","passed","2026-06-05","","test_products_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","2026-06-05","passed","2026-06-05","","test_products_api","",""
"","101","Проверка создания товара с разными ценами","tests.api","2026-06-05","passed","2026-06-05","","test_products_api","",""
"","206","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-06-05","passed","2026-06-05","","test_carts_api","",""
"","5","Блокировка входа с пустыми полями","tests.api","2026-06-05","passed","2026-06-05","","test_auth_api","",""
"","15","Успешное получение списка заказов администратором","tests.api","2026-06-05","passed","2026-06-05","","test_orders_api","",""
"","142","Успешный вход с правильными данными","tests.api","2026-06-05","passed","2026-06-05","","test_auth_api","",""
