"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122","Проверка создания товара с разными ценами","tests.api","2026-07-14","passed","2026-07-14","","test_products_api","",""
"","23","Блокировка входа с пустыми полями","tests.api","2026-07-14","passed","2026-07-14","","test_auth_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","2026-07-14","passed","2026-07-14","","test_products_api","",""
"","100","Блокировка входа с неверным паролем","tests.api","2026-07-14","passed","2026-07-14","","test_auth_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-07-14","broken","2026-07-14","","test_carts_api","",""
"","8","Ошибка создания товара без названия","tests.api","2026-07-14","passed","2026-07-14","","test_products_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-07-14","passed","2026-07-14","","test_products_api","",""
"","25","Ошибка при запросе несуществующего заказа","tests.api","2026-07-14","passed","2026-07-14","","test_orders_api","",""
"","144","Успешный вход с правильными данными","tests.api","2026-07-14","passed","2026-07-14","","test_auth_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-07-14","broken","2026-07-14","","test_carts_api","",""
"","119","Проверка создания товара с разными ценами","tests.api","2026-07-14","passed","2026-07-14","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-07-14","passed","2026-07-14","","test_orders_api","",""
"","228","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-07-14","passed","2026-07-14","","test_carts_api","",""
"","105","Проверка создания товара с разными ценами","tests.api","2026-07-14","passed","2026-07-14","","test_products_api","",""
"","19","Успешное получение списка заказов администратором","tests.api","2026-07-14","passed","2026-07-14","","test_orders_api","",""
"","119","Успешное создание нового кроссовка","tests.api","2026-07-14","passed","2026-07-14","","test_products_api","",""
"","130","Проверка создания товара с разными ценами","tests.api","2026-07-14","passed","2026-07-14","","test_products_api","",""
