"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Проверка создания товара с разными ценами","tests.api","2026-07-02","passed","2026-07-02","","test_products_api","",""
"","111","Проверка создания товара с разными ценами","tests.api","2026-07-02","passed","2026-07-02","","test_products_api","",""
"","112","Проверка создания товара с разными ценами","tests.api","2026-07-02","passed","2026-07-02","","test_products_api","",""
"","131","Проверка создания товара с разными ценами","tests.api","2026-07-02","passed","2026-07-02","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-07-02","passed","2026-07-02","","test_orders_api","",""
"","18","Успешное получение списка заказов администратором","tests.api","2026-07-02","passed","2026-07-02","","test_orders_api","",""
"","214","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-07-02","passed","2026-07-02","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-07-02","passed","2026-07-02","","test_products_api","",""
"","138","Успешное создание нового кроссовка","tests.api","2026-07-02","passed","2026-07-02","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-07-02","broken","2026-07-02","","test_carts_api","",""
"","24","Ошибка при запросе несуществующего заказа","tests.api","2026-07-02","passed","2026-07-02","","test_orders_api","",""
"","130","Успешный вход с правильными данными","tests.api","2026-07-02","passed","2026-07-02","","test_auth_api","",""
"","7","Ошибка создания товара без названия","tests.api","2026-07-02","passed","2026-07-02","","test_products_api","",""
"","103","Проверка создания товара с разными ценами","tests.api","2026-07-02","passed","2026-07-02","","test_products_api","",""
"","85","Блокировка входа с неверным паролем","tests.api","2026-07-02","passed","2026-07-02","","test_auth_api","",""
"","19","Блокировка входа с пустыми полями","tests.api","2026-07-02","passed","2026-07-02","","test_auth_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-07-02","broken","2026-07-02","","test_carts_api","",""
