"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Блокировка входа с пустыми полями","tests.api","2026-07-06","passed","2026-07-06","","test_auth_api","",""
"","211","Проверка создания товара с разными ценами","tests.api","2026-07-06","passed","2026-07-06","","test_products_api","",""
"","132","Успешное создание нового кроссовка","tests.api","2026-07-06","passed","2026-07-06","","test_products_api","",""
"","116","Проверка создания товара с разными ценами","tests.api","2026-07-06","passed","2026-07-06","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-07-06","broken","2026-07-06","","test_carts_api","",""
"","99","Блокировка входа с неверным паролем","tests.api","2026-07-06","passed","2026-07-06","","test_auth_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-07-06","passed","2026-07-06","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-07-06","passed","2026-07-06","","test_orders_api","",""
"","119","Проверка создания товара с разными ценами","tests.api","2026-07-06","passed","2026-07-06","","test_products_api","",""
"","21","Успешное получение списка заказов администратором","tests.api","2026-07-06","passed","2026-07-06","","test_orders_api","",""
"","139","Успешный вход с правильными данными","tests.api","2026-07-06","passed","2026-07-06","","test_auth_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-07-06","broken","2026-07-06","","test_carts_api","",""
"","239","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-07-06","passed","2026-07-06","","test_carts_api","",""
"","7","Ошибка создания товара без названия","tests.api","2026-07-06","passed","2026-07-06","","test_products_api","",""
"","26","Ошибка при запросе несуществующего заказа","tests.api","2026-07-06","passed","2026-07-06","","test_orders_api","",""
"","7","Проверка создания товара с разными ценами","tests.api","2026-07-06","passed","2026-07-06","","test_products_api","",""
"","108","Проверка создания товара с разными ценами","tests.api","2026-07-06","passed","2026-07-06","","test_products_api","",""
