"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","108","Проверка создания товара с разными ценами","tests.api","Thu Apr 23 10:17:43 UTC 2026","passed","Thu Apr 23 10:17:43 UTC 2026","","test_products_api","",""
"","203","Попытка добавить реальный товар в фейковую корзину","tests.api","Thu Apr 23 10:17:42 UTC 2026","passed","Thu Apr 23 10:17:42 UTC 2026","","test_carts_api","",""
"","106","Проверка создания товара с разными ценами","tests.api","Thu Apr 23 10:17:43 UTC 2026","passed","Thu Apr 23 10:17:43 UTC 2026","","test_products_api","",""
"","110","Успешное создание нового кроссовка","tests.api","Thu Apr 23 10:17:42 UTC 2026","passed","Thu Apr 23 10:17:42 UTC 2026","","test_products_api","",""
"","101","Проверка создания товара с разными ценами","tests.api","Thu Apr 23 10:17:43 UTC 2026","passed","Thu Apr 23 10:17:43 UTC 2026","","test_products_api","",""
"","118","Проверка создания товара с разными ценами","tests.api","Thu Apr 23 10:17:43 UTC 2026","passed","Thu Apr 23 10:17:43 UTC 2026","","test_products_api","",""
"","5","Проверка создания товара с разными ценами","tests.api","Thu Apr 23 10:17:43 UTC 2026","passed","Thu Apr 23 10:17:43 UTC 2026","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","Thu Apr 23 10:17:42 UTC 2026","passed","Thu Apr 23 10:17:42 UTC 2026","","test_orders_api","",""
"","130","Успешный вход с правильными данными","tests.api","Thu Apr 23 10:17:41 UTC 2026","passed","Thu Apr 23 10:17:41 UTC 2026","","test_auth_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","Thu Apr 23 10:17:41 UTC 2026","broken","Thu Apr 23 10:17:41 UTC 2026","","test_carts_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Thu Apr 23 10:17:42 UTC 2026","broken","Thu Apr 23 10:17:42 UTC 2026","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","Thu Apr 23 10:17:43 UTC 2026","passed","Thu Apr 23 10:17:43 UTC 2026","","test_products_api","",""
"","6","Блокировка входа с пустыми полями","tests.api","Thu Apr 23 10:17:41 UTC 2026","passed","Thu Apr 23 10:17:41 UTC 2026","","test_auth_api","",""
"","26","Ошибка при запросе несуществующего заказа","tests.api","Thu Apr 23 10:17:42 UTC 2026","passed","Thu Apr 23 10:17:42 UTC 2026","","test_orders_api","",""
"","17","Успешное получение списка заказов администратором","tests.api","Thu Apr 23 10:17:42 UTC 2026","passed","Thu Apr 23 10:17:42 UTC 2026","","test_orders_api","",""
"","7","Ошибка создания товара без названия","tests.api","Thu Apr 23 10:17:43 UTC 2026","passed","Thu Apr 23 10:17:43 UTC 2026","","test_products_api","",""
"","84","Блокировка входа с неверным паролем","tests.api","Thu Apr 23 10:17:41 UTC 2026","passed","Thu Apr 23 10:17:41 UTC 2026","","test_auth_api","",""
