"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Попытка удаления товара без токена","tests.api","2026-09-22","passed","2026-09-22","","test_products_api","",""
"","250","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-09-22","passed","2026-09-22","","test_carts_api","",""
"","26","Ошибка при запросе несуществующего заказа","tests.api","2026-09-22","passed","2026-09-22","","test_orders_api","",""
"","1","Попытка получить список заказов без авторизации","tests.api","2026-09-22","passed","2026-09-22","","test_orders_api","",""
"","144","Успешное создание нового кроссовка","tests.api","2026-09-22","passed","2026-09-22","","test_products_api","",""
"","93","Блокировка входа с неверным паролем","tests.api","2026-09-22","passed","2026-09-22","","test_auth_api","",""
"","137","Проверка создания товара с разными ценами","tests.api","2026-09-22","passed","2026-09-22","","test_products_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","2026-09-22","passed","2026-09-22","","test_products_api","",""
"","143","Проверка создания товара с разными ценами","tests.api","2026-09-22","passed","2026-09-22","","test_products_api","",""
"","15","Успешное получение списка заказов администратором","tests.api","2026-09-22","passed","2026-09-22","","test_orders_api","",""
"","7","Блокировка входа с пустыми полями","tests.api","2026-09-22","passed","2026-09-22","","test_auth_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-09-22","broken","2026-09-22","","test_carts_api","",""
"","8","Ошибка создания товара без названия","tests.api","2026-09-22","passed","2026-09-22","","test_products_api","",""
"","142","Проверка создания товара с разными ценами","tests.api","2026-09-22","passed","2026-09-22","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-09-22","broken","2026-09-22","","test_carts_api","",""
"","132","Успешный вход с правильными данными","tests.api","2026-09-22","passed","2026-09-22","","test_auth_api","",""
"","243","Проверка создания товара с разными ценами","tests.api","2026-09-22","passed","2026-09-22","","test_products_api","",""
