"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Успешный создание корзины и добавление товара","tests.api","Mon May 25 12:21:27 UTC 2026","broken","Mon May 25 12:21:27 UTC 2026","","test_carts_api","",""
"","99","Проверка создания товара с разными ценами","tests.api","Mon May 25 12:21:29 UTC 2026","passed","Mon May 25 12:21:29 UTC 2026","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","Mon May 25 12:21:28 UTC 2026","passed","Mon May 25 12:21:28 UTC 2026","","test_orders_api","",""
"","6","Блокировка входа с пустыми полями","tests.api","Mon May 25 12:21:27 UTC 2026","passed","Mon May 25 12:21:27 UTC 2026","","test_auth_api","",""
"","210","Попытка добавить реальный товар в фейковую корзину","tests.api","Mon May 25 12:21:27 UTC 2026","passed","Mon May 25 12:21:27 UTC 2026","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","Mon May 25 12:21:29 UTC 2026","passed","Mon May 25 12:21:29 UTC 2026","","test_products_api","",""
"","113","Успешное создание нового кроссовка","tests.api","Mon May 25 12:21:28 UTC 2026","passed","Mon May 25 12:21:28 UTC 2026","","test_products_api","",""
"","153","Успешный вход с правильными данными","tests.api","Mon May 25 12:21:27 UTC 2026","passed","Mon May 25 12:21:27 UTC 2026","","test_auth_api","",""
"","8","Ошибка создания товара без названия","tests.api","Mon May 25 12:21:29 UTC 2026","passed","Mon May 25 12:21:29 UTC 2026","","test_products_api","",""
"","22","Ошибка при запросе несуществующего заказа","tests.api","Mon May 25 12:21:28 UTC 2026","passed","Mon May 25 12:21:28 UTC 2026","","test_orders_api","",""
"","85","Блокировка входа с неверным паролем","tests.api","Mon May 25 12:21:27 UTC 2026","passed","Mon May 25 12:21:27 UTC 2026","","test_auth_api","",""
"","108","Проверка создания товара с разными ценами","tests.api","Mon May 25 12:21:28 UTC 2026","passed","Mon May 25 12:21:29 UTC 2026","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Mon May 25 12:21:27 UTC 2026","broken","Mon May 25 12:21:27 UTC 2026","","test_carts_api","",""
"","115","Проверка создания товара с разными ценами","tests.api","Mon May 25 12:21:28 UTC 2026","passed","Mon May 25 12:21:28 UTC 2026","","test_products_api","",""
"","16","Успешное получение списка заказов администратором","tests.api","Mon May 25 12:21:28 UTC 2026","passed","Mon May 25 12:21:28 UTC 2026","","test_orders_api","",""
"","113","Проверка создания товара с разными ценами","tests.api","Mon May 25 12:21:28 UTC 2026","passed","Mon May 25 12:21:28 UTC 2026","","test_products_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","Mon May 25 12:21:29 UTC 2026","passed","Mon May 25 12:21:29 UTC 2026","","test_products_api","",""
