"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","Блокировка входа с неверным паролем","tests.api","Wed Apr 22 10:14:26 UTC 2026","passed","Wed Apr 22 10:14:26 UTC 2026","","test_auth_api","",""
"","94","Проверка создания товара с разными ценами","tests.api","Wed Apr 22 10:14:27 UTC 2026","passed","Wed Apr 22 10:14:27 UTC 2026","","test_products_api","",""
"","17","Успешное получение списка заказов администратором","tests.api","Wed Apr 22 10:14:26 UTC 2026","passed","Wed Apr 22 10:14:26 UTC 2026","","test_orders_api","",""
"","5","Проверка создания товара с разными ценами","tests.api","Wed Apr 22 10:14:28 UTC 2026","passed","Wed Apr 22 10:14:28 UTC 2026","","test_products_api","",""
"","1","Попытка удаления товара без токена","tests.api","Wed Apr 22 10:14:28 UTC 2026","passed","Wed Apr 22 10:14:28 UTC 2026","","test_products_api","",""
"","113","Успешное создание нового кроссовка","tests.api","Wed Apr 22 10:14:27 UTC 2026","passed","Wed Apr 22 10:14:27 UTC 2026","","test_products_api","",""
"","125","Успешный вход с правильными данными","tests.api","Wed Apr 22 10:14:25 UTC 2026","passed","Wed Apr 22 10:14:26 UTC 2026","","test_auth_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Wed Apr 22 10:14:26 UTC 2026","broken","Wed Apr 22 10:14:26 UTC 2026","","test_carts_api","",""
"","27","Ошибка при запросе несуществующего заказа","tests.api","Wed Apr 22 10:14:27 UTC 2026","passed","Wed Apr 22 10:14:27 UTC 2026","","test_orders_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","Wed Apr 22 10:14:26 UTC 2026","broken","Wed Apr 22 10:14:26 UTC 2026","","test_carts_api","",""
"","110","Проверка создания товара с разными ценами","tests.api","Wed Apr 22 10:14:27 UTC 2026","passed","Wed Apr 22 10:14:27 UTC 2026","","test_products_api","",""
"","1","Попытка получить список заказов без авторизации","tests.api","Wed Apr 22 10:14:27 UTC 2026","passed","Wed Apr 22 10:14:27 UTC 2026","","test_orders_api","",""
"","7","Блокировка входа с пустыми полями","tests.api","Wed Apr 22 10:14:26 UTC 2026","passed","Wed Apr 22 10:14:26 UTC 2026","","test_auth_api","",""
"","109","Проверка создания товара с разными ценами","tests.api","Wed Apr 22 10:14:27 UTC 2026","passed","Wed Apr 22 10:14:27 UTC 2026","","test_products_api","",""
"","9","Ошибка создания товара без названия","tests.api","Wed Apr 22 10:14:28 UTC 2026","passed","Wed Apr 22 10:14:28 UTC 2026","","test_products_api","",""
"","99","Проверка создания товара с разными ценами","tests.api","Wed Apr 22 10:14:27 UTC 2026","passed","Wed Apr 22 10:14:28 UTC 2026","","test_products_api","",""
"","216","Попытка добавить реальный товар в фейковую корзину","tests.api","Wed Apr 22 10:14:26 UTC 2026","passed","Wed Apr 22 10:14:26 UTC 2026","","test_carts_api","",""
