"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230","Проверка создания товара с разными ценами","tests.api","2026-06-01","passed","2026-06-01","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-06-01","broken","2026-06-01","","test_carts_api","",""
"","17","Успешное получение списка заказов администратором","tests.api","2026-06-01","passed","2026-06-01","","test_orders_api","",""
"","151","Успешный вход с правильными данными","tests.api","2026-06-01","passed","2026-06-01","","test_auth_api","",""
"","8","Проверка создания товара с разными ценами","tests.api","2026-06-01","passed","2026-06-01","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-06-01","passed","2026-06-01","","test_orders_api","",""
"","241","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-06-01","passed","2026-06-01","","test_carts_api","",""
"","106","Проверка создания товара с разными ценами","tests.api","2026-06-01","passed","2026-06-01","","test_products_api","",""
"","141","Проверка создания товара с разными ценами","tests.api","2026-06-01","passed","2026-06-01","","test_products_api","",""
"","6","Блокировка входа с пустыми полями","tests.api","2026-06-01","passed","2026-06-01","","test_auth_api","",""
"","128","Успешное создание нового кроссовка","tests.api","2026-06-01","passed","2026-06-01","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-06-01","broken","2026-06-01","","test_carts_api","",""
"","101","Блокировка входа с неверным паролем","tests.api","2026-06-01","passed","2026-06-01","","test_auth_api","",""
"","1","Попытка удаления товара без токена","tests.api","2026-06-01","passed","2026-06-01","","test_products_api","",""
"","121","Проверка создания товара с разными ценами","tests.api","2026-06-01","passed","2026-06-01","","test_products_api","",""
"","8","Ошибка создания товара без названия","tests.api","2026-06-01","passed","2026-06-01","","test_products_api","",""
"","31","Ошибка при запросе несуществующего заказа","tests.api","2026-06-01","passed","2026-06-01","","test_orders_api","",""
