"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Ошибка при запросе несуществующего заказа","tests.api","Wed Apr 15 10:11:16 UTC 2026","passed","Wed Apr 15 10:11:16 UTC 2026","","test_orders_api","",""
"","116","Проверка создания товара с разными ценами","tests.api","Wed Apr 15 10:11:16 UTC 2026","passed","Wed Apr 15 10:11:16 UTC 2026","","test_products_api","",""
"","6","Ошибка создания товара без названия","tests.api","Wed Apr 15 10:11:17 UTC 2026","passed","Wed Apr 15 10:11:17 UTC 2026","","test_products_api","",""
"","106","Проверка создания товара с разными ценами","tests.api","Wed Apr 15 10:11:16 UTC 2026","passed","Wed Apr 15 10:11:17 UTC 2026","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","Wed Apr 15 10:11:16 UTC 2026","passed","Wed Apr 15 10:11:16 UTC 2026","","test_orders_api","",""
"","0","Попытка удаления товара без токена","tests.api","Wed Apr 15 10:11:17 UTC 2026","passed","Wed Apr 15 10:11:17 UTC 2026","","test_products_api","",""
"","222","Попытка добавить реальный товар в фейковую корзину","tests.api","Wed Apr 15 10:11:15 UTC 2026","passed","Wed Apr 15 10:11:15 UTC 2026","","test_carts_api","",""
"","169","Проверка создания товара с разными ценами","tests.api","Wed Apr 15 10:11:16 UTC 2026","passed","Wed Apr 15 10:11:16 UTC 2026","","test_products_api","",""
"","123","Успешный вход с правильными данными","tests.api","Wed Apr 15 10:11:15 UTC 2026","passed","Wed Apr 15 10:11:15 UTC 2026","","test_auth_api","",""
"","20","Успешное получение списка заказов администратором","tests.api","Wed Apr 15 10:11:16 UTC 2026","passed","Wed Apr 15 10:11:16 UTC 2026","","test_orders_api","",""
"","115","Успешное создание нового кроссовка","tests.api","Wed Apr 15 10:11:16 UTC 2026","passed","Wed Apr 15 10:11:16 UTC 2026","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","Wed Apr 15 10:11:15 UTC 2026","broken","Wed Apr 15 10:11:15 UTC 2026","","test_carts_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Wed Apr 15 10:11:15 UTC 2026","broken","Wed Apr 15 10:11:15 UTC 2026","","test_carts_api","",""
"","97","Проверка создания товара с разными ценами","tests.api","Wed Apr 15 10:11:17 UTC 2026","passed","Wed Apr 15 10:11:17 UTC 2026","","test_products_api","",""
"","5","Проверка создания товара с разными ценами","tests.api","Wed Apr 15 10:11:17 UTC 2026","passed","Wed Apr 15 10:11:17 UTC 2026","","test_products_api","",""
"","91","Блокировка входа с неверным паролем","tests.api","Wed Apr 15 10:11:15 UTC 2026","passed","Wed Apr 15 10:11:15 UTC 2026","","test_auth_api","",""
"","5","Блокировка входа с пустыми полями","tests.api","Wed Apr 15 10:11:15 UTC 2026","passed","Wed Apr 15 10:11:15 UTC 2026","","test_auth_api","",""
