"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Ошибка создания товара без названия","tests.api","2026-07-27","passed","2026-07-27","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-07-27","broken","2026-07-27","","test_carts_api","",""
"","85","Блокировка входа с неверным паролем","tests.api","2026-07-27","passed","2026-07-27","","test_auth_api","",""
"","16","Успешное получение списка заказов администратором","tests.api","2026-07-27","passed","2026-07-27","","test_orders_api","",""
"","162","Успешное создание нового кроссовка","tests.api","2026-07-27","passed","2026-07-27","","test_products_api","",""
"","5","Блокировка входа с пустыми полями","tests.api","2026-07-27","passed","2026-07-27","","test_auth_api","",""
"","128","Успешный вход с правильными данными","tests.api","2026-07-27","passed","2026-07-27","","test_auth_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","2026-07-27","passed","2026-07-27","","test_products_api","",""
"","139","Проверка создания товара с разными ценами","tests.api","2026-07-27","passed","2026-07-27","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-07-27","broken","2026-07-27","","test_carts_api","",""
"","152","Проверка создания товара с разными ценами","tests.api","2026-07-27","passed","2026-07-27","","test_products_api","",""
"","154","Проверка создания товара с разными ценами","tests.api","2026-07-27","passed","2026-07-27","","test_products_api","",""
"","261","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-07-27","passed","2026-07-27","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-07-27","passed","2026-07-27","","test_products_api","",""
"","24","Ошибка при запросе несуществующего заказа","tests.api","2026-07-27","passed","2026-07-27","","test_orders_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-07-27","passed","2026-07-27","","test_orders_api","",""
"","164","Проверка создания товара с разными ценами","tests.api","2026-07-27","passed","2026-07-27","","test_products_api","",""
