"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Ошибка создания товара без названия","tests.api","2026-06-11","passed","2026-06-11","","test_products_api","",""
"","80","Проверка создания товара с разными ценами","tests.api","2026-06-11","passed","2026-06-11","","test_products_api","",""
"","89","Успешное создание нового кроссовка","tests.api","2026-06-11","passed","2026-06-11","","test_products_api","",""
"","4","Блокировка входа с пустыми полями","tests.api","2026-06-11","passed","2026-06-11","","test_auth_api","",""
"","93","Проверка создания товара с разными ценами","tests.api","2026-06-11","passed","2026-06-11","","test_products_api","",""
"","161","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-06-11","passed","2026-06-11","","test_carts_api","",""
"","5","Проверка создания товара с разными ценами","tests.api","2026-06-11","passed","2026-06-11","","test_products_api","",""
"","111","Успешный вход с правильными данными","tests.api","2026-06-11","passed","2026-06-11","","test_auth_api","",""
"","19","Ошибка при запросе несуществующего заказа","tests.api","2026-06-11","passed","2026-06-11","","test_orders_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-06-11","broken","2026-06-11","","test_carts_api","",""
"","1","Попытка получить список заказов без авторизации","tests.api","2026-06-11","passed","2026-06-11","","test_orders_api","",""
"","95","Проверка создания товара с разными ценами","tests.api","2026-06-11","passed","2026-06-11","","test_products_api","",""
"","14","Успешное получение списка заказов администратором","tests.api","2026-06-11","passed","2026-06-11","","test_orders_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-06-11","broken","2026-06-11","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-06-11","passed","2026-06-11","","test_products_api","",""
"","75","Блокировка входа с неверным паролем","tests.api","2026-06-11","passed","2026-06-11","","test_auth_api","",""
"","87","Проверка создания товара с разными ценами","tests.api","2026-06-11","passed","2026-06-11","","test_products_api","",""
