"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Блокировка входа с пустыми полями","tests.api","2026-06-25","passed","2026-06-25","","test_auth_api","",""
"","22","Ошибка при запросе несуществующего заказа","tests.api","2026-06-25","passed","2026-06-25","","test_orders_api","",""
"","114","Успешное создание нового кроссовка","tests.api","2026-06-25","passed","2026-06-25","","test_products_api","",""
"","107","Проверка создания товара с разными ценами","tests.api","2026-06-25","passed","2026-06-25","","test_products_api","",""
"","130","Успешный вход с правильными данными","tests.api","2026-06-25","passed","2026-06-25","","test_auth_api","",""
"","1","Попытка удаления товара без токена","tests.api","2026-06-25","passed","2026-06-25","","test_products_api","",""
"","183","Проверка создания товара с разными ценами","tests.api","2026-06-25","passed","2026-06-25","","test_products_api","",""
"","215","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-06-25","passed","2026-06-25","","test_carts_api","",""
"","19","Успешное получение списка заказов администратором","tests.api","2026-06-25","passed","2026-06-25","","test_orders_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-06-25","passed","2026-06-25","","test_orders_api","",""
"","119","Проверка создания товара с разными ценами","tests.api","2026-06-25","passed","2026-06-25","","test_products_api","",""
"","85","Блокировка входа с неверным паролем","tests.api","2026-06-25","passed","2026-06-25","","test_auth_api","",""
"","96","Проверка создания товара с разными ценами","tests.api","2026-06-25","passed","2026-06-25","","test_products_api","",""
"","5","Проверка создания товара с разными ценами","tests.api","2026-06-25","passed","2026-06-25","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-06-25","broken","2026-06-25","","test_carts_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-06-25","broken","2026-06-25","","test_carts_api","",""
"","7","Ошибка создания товара без названия","tests.api","2026-06-25","passed","2026-06-25","","test_products_api","",""
