"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Проверка создания товара с разными ценами","tests.api","2026-07-20","passed","2026-07-20","","test_products_api","",""
"","76","Блокировка входа с неверным паролем","tests.api","2026-07-20","passed","2026-07-20","","test_auth_api","",""
"","90","Проверка создания товара с разными ценами","tests.api","2026-07-20","passed","2026-07-20","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-07-20","broken","2026-07-20","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-07-20","passed","2026-07-20","","test_products_api","",""
"","171","Проверка создания товара с разными ценами","tests.api","2026-07-20","passed","2026-07-20","","test_products_api","",""
"","81","Проверка создания товара с разными ценами","tests.api","2026-07-20","passed","2026-07-20","","test_products_api","",""
"","1","Попытка получить список заказов без авторизации","tests.api","2026-07-20","passed","2026-07-20","","test_orders_api","",""
"","4","Блокировка входа с пустыми полями","tests.api","2026-07-20","passed","2026-07-20","","test_auth_api","",""
"","6","Ошибка создания товара без названия","tests.api","2026-07-20","passed","2026-07-20","","test_products_api","",""
"","14","Успешное получение списка заказов администратором","tests.api","2026-07-20","passed","2026-07-20","","test_orders_api","",""
"","91","Успешное создание нового кроссовка","tests.api","2026-07-20","passed","2026-07-20","","test_products_api","",""
"","107","Успешный вход с правильными данными","tests.api","2026-07-20","passed","2026-07-20","","test_auth_api","",""
"","163","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-07-20","passed","2026-07-20","","test_carts_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-07-20","broken","2026-07-20","","test_carts_api","",""
"","18","Ошибка при запросе несуществующего заказа","tests.api","2026-07-20","passed","2026-07-20","","test_orders_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","2026-07-20","passed","2026-07-20","","test_products_api","",""
