"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Ошибка при запросе несуществующего заказа","tests.api","Thu May 28 12:21:36 UTC 2026","passed","Thu May 28 12:21:36 UTC 2026","","test_orders_api","",""
"","110","Проверка создания товара с разными ценами","tests.api","Thu May 28 12:21:37 UTC 2026","passed","Thu May 28 12:21:37 UTC 2026","","test_products_api","",""
"","115","Успешное создание нового кроссовка","tests.api","Thu May 28 12:21:36 UTC 2026","passed","Thu May 28 12:21:36 UTC 2026","","test_products_api","",""
"","114","Проверка создания товара с разными ценами","tests.api","Thu May 28 12:21:37 UTC 2026","passed","Thu May 28 12:21:37 UTC 2026","","test_products_api","",""
"","9","Ошибка создания товара без названия","tests.api","Thu May 28 12:21:38 UTC 2026","passed","Thu May 28 12:21:38 UTC 2026","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","Thu May 28 12:21:36 UTC 2026","passed","Thu May 28 12:21:36 UTC 2026","","test_orders_api","",""
"","184","Проверка создания товара с разными ценами","tests.api","Thu May 28 12:21:37 UTC 2026","passed","Thu May 28 12:21:37 UTC 2026","","test_products_api","",""
"","0","Попытка удаления товара без токена","tests.api","Thu May 28 12:21:38 UTC 2026","passed","Thu May 28 12:21:38 UTC 2026","","test_products_api","",""
"","128","Успешный вход с правильными данными","tests.api","Thu May 28 12:21:35 UTC 2026","passed","Thu May 28 12:21:35 UTC 2026","","test_auth_api","",""
"","16","Успешное получение списка заказов администратором","tests.api","Thu May 28 12:21:36 UTC 2026","passed","Thu May 28 12:21:36 UTC 2026","","test_orders_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Thu May 28 12:21:36 UTC 2026","broken","Thu May 28 12:21:36 UTC 2026","","test_carts_api","",""
"","222","Попытка добавить реальный товар в фейковую корзину","tests.api","Thu May 28 12:21:36 UTC 2026","passed","Thu May 28 12:21:36 UTC 2026","","test_carts_api","",""
"","117","Проверка создания товара с разными ценами","tests.api","Thu May 28 12:21:37 UTC 2026","passed","Thu May 28 12:21:37 UTC 2026","","test_products_api","",""
"","94","Блокировка входа с неверным паролем","tests.api","Thu May 28 12:21:35 UTC 2026","passed","Thu May 28 12:21:35 UTC 2026","","test_auth_api","",""
"","6","Блокировка входа с пустыми полями","tests.api","Thu May 28 12:21:35 UTC 2026","passed","Thu May 28 12:21:35 UTC 2026","","test_auth_api","",""
"","7","Проверка создания товара с разными ценами","tests.api","Thu May 28 12:21:38 UTC 2026","passed","Thu May 28 12:21:38 UTC 2026","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","Thu May 28 12:21:35 UTC 2026","broken","Thu May 28 12:21:35 UTC 2026","","test_carts_api","",""
