"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Попытка получить список заказов без авторизации","tests.api","2026-07-03","passed","2026-07-03","","test_orders_api","",""
"","148","Проверка создания товара с разными ценами","tests.api","2026-07-03","passed","2026-07-03","","test_products_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-07-03","passed","2026-07-03","","test_products_api","",""
"","116","Проверка создания товара с разными ценами","tests.api","2026-07-03","passed","2026-07-03","","test_products_api","",""
"","254","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-07-03","passed","2026-07-03","","test_carts_api","",""
"","90","Блокировка входа с неверным паролем","tests.api","2026-07-03","passed","2026-07-03","","test_auth_api","",""
"","18","Успешное получение списка заказов администратором","tests.api","2026-07-03","passed","2026-07-03","","test_orders_api","",""
"","123","Успешное создание нового кроссовка","tests.api","2026-07-03","passed","2026-07-03","","test_products_api","",""
"","9","Ошибка создания товара без названия","tests.api","2026-07-03","passed","2026-07-03","","test_products_api","",""
"","119","Проверка создания товара с разными ценами","tests.api","2026-07-03","passed","2026-07-03","","test_products_api","",""
"","21","Блокировка входа с пустыми полями","tests.api","2026-07-03","passed","2026-07-03","","test_auth_api","",""
"","27","Ошибка при запросе несуществующего заказа","tests.api","2026-07-03","passed","2026-07-03","","test_orders_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","2026-07-03","passed","2026-07-03","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-07-03","broken","2026-07-03","","test_carts_api","",""
"","124","Проверка создания товара с разными ценами","tests.api","2026-07-03","passed","2026-07-03","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-07-03","broken","2026-07-03","","test_carts_api","",""
"","134","Успешный вход с правильными данными","tests.api","2026-07-03","passed","2026-07-03","","test_auth_api","",""
