"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Успешное получение списка заказов администратором","tests.api","Tue Apr 21 10:14:14 UTC 2026","passed","Tue Apr 21 10:14:14 UTC 2026","","test_orders_api","",""
"","99","Блокировка входа с неверным паролем","tests.api","Tue Apr 21 10:14:13 UTC 2026","passed","Tue Apr 21 10:14:13 UTC 2026","","test_auth_api","",""
"","1","Попытка удаления товара без токена","tests.api","Tue Apr 21 10:14:15 UTC 2026","passed","Tue Apr 21 10:14:15 UTC 2026","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","Tue Apr 21 10:14:14 UTC 2026","passed","Tue Apr 21 10:14:14 UTC 2026","","test_orders_api","",""
"","6","Блокировка входа с пустыми полями","tests.api","Tue Apr 21 10:14:13 UTC 2026","passed","Tue Apr 21 10:14:13 UTC 2026","","test_auth_api","",""
"","39","Ошибка при запросе несуществующего заказа","tests.api","Tue Apr 21 10:14:14 UTC 2026","passed","Tue Apr 21 10:14:14 UTC 2026","","test_orders_api","",""
"","133","Успешный вход с правильными данными","tests.api","Tue Apr 21 10:14:13 UTC 2026","passed","Tue Apr 21 10:14:13 UTC 2026","","test_auth_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Tue Apr 21 10:14:13 UTC 2026","broken","Tue Apr 21 10:14:13 UTC 2026","","test_carts_api","",""
"","139","Проверка создания товара с разными ценами","tests.api","Tue Apr 21 10:14:14 UTC 2026","passed","Tue Apr 21 10:14:14 UTC 2026","","test_products_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","Tue Apr 21 10:14:15 UTC 2026","passed","Tue Apr 21 10:14:15 UTC 2026","","test_products_api","",""
"","109","Проверка создания товара с разными ценами","tests.api","Tue Apr 21 10:14:15 UTC 2026","passed","Tue Apr 21 10:14:15 UTC 2026","","test_products_api","",""
"","123","Успешное создание нового кроссовка","tests.api","Tue Apr 21 10:14:14 UTC 2026","passed","Tue Apr 21 10:14:14 UTC 2026","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","Tue Apr 21 10:14:13 UTC 2026","broken","Tue Apr 21 10:14:13 UTC 2026","","test_carts_api","",""
"","121","Проверка создания товара с разными ценами","tests.api","Tue Apr 21 10:14:15 UTC 2026","passed","Tue Apr 21 10:14:15 UTC 2026","","test_products_api","",""
"","225","Попытка добавить реальный товар в фейковую корзину","tests.api","Tue Apr 21 10:14:13 UTC 2026","passed","Tue Apr 21 10:14:14 UTC 2026","","test_carts_api","",""
"","111","Проверка создания товара с разными ценами","tests.api","Tue Apr 21 10:14:14 UTC 2026","passed","Tue Apr 21 10:14:15 UTC 2026","","test_products_api","",""
"","7","Ошибка создания товара без названия","tests.api","Tue Apr 21 10:14:15 UTC 2026","passed","Tue Apr 21 10:14:15 UTC 2026","","test_products_api","",""
